owner,burns
0x401eafbedff96edb6d7bc0aa0a2bc7de1e2e48c1,3
0x198559fadf0552b2cf2950c237c919aa48089a03,3
0x3825357cc52afff560a56a1d6189bae1c2fce382,3
0x3945c314acea2a83bed858691dec1589af7a70ca,3
0x3f55197fd980c0da9d59c01a4d3de90a1c5d7ad1,3
0x285da2b67afce18e532695788c1a2c902bbca0fb,3
0xb3c907670200ba46575cdadd8f6ab553d9c04734,3
0x490dd97d66404fd214838c3ba6e164ede8cbcc72,3
0x1ce9ff9e35b27a847e2de6af1c83f09ba3244768,3
0x11ef88ef9b55bf028877f3d3506f411add1574a1,3
0x20e7b3f96836fb1e2de70639e180c382c1811baf,3
0xf7023f165eed3bb2625894a539036bb454fe774c,3
0xf12b2722a5bea320a094009a2e80f4df92c6d389,3
0xcdbc8cd9299808f377c420d2e9fb6e6076f6ee81,3
0xa1e928b404a91f4e5f2f8aa0821134f0aee13afc,3
0x3becc01158aad310189d2debe4b7e79df24de880,3
0x3a36048afea32c645b007e4b6da48263e55ee667,3
0x3bbcf2972299e6da5ef830af78791e3a7ed7278d,3
0x25ebaeca4e40f96a71df60a3af2716a05853e395,3
0x1c21230d4a2e920d11655cc6afe567ee38bfacda,3
0xe816f527254ddb4bb5a222e26ba80444df10be01,3
0x58590365b9f634fda68b7cf880505e5f0fd62708,3
0xe2921b5fa7bf0fbe9da85091aaed8dacfce9f6eb,3
0xca50378eee9e4069114eaf301d813494ca190bb5,3
0xc4cfbd7f6b03198281c96eb1196837b7faed6269,3
0xa20c07f94a127fd76e61fbea1019cce759225002,2
0x92e51066b0b245e24c531a829e5cb5386202b5e1,2
0xba55a4ad8b09c532fd5f330768a5c415e5cd689b,2
0x583c6b65f5e357b94685ebb0d57d60202eb96b97,2
0x767973eaf3cff050dec265864a5467ae64f5a5e4,2
0x81b171eb455844a55e48726e940d3f1903b5fb7a,2
0x2ce0fb9a765ba7f55d43897dd404c8d92e9c0708,2
0xd281db6d9eeb1dad508c794057fd0621af88967b,2
0x13154a5c4db42ba376437cf9b1948756a3ed6ebd,2
0x9005cf20b23af88498c23b2e824b1419eed6f826,2
0x31992b19c40f2e472da5d39b167dc6fe952d3777,2
0x878975cf4a97774af6875b3b37b0920b83121f35,2
0x19b192b0fff2c19ebb971054453e6d52df6efb60,2
0x29059f184faa0a32c83971c8951829c8be27d3f3,2
0xa83c795b25b2e7a8cb1f2a8db1b75afcba6d88c8,2
0x38ff9837ccddf029f1fd319f9252acb1881d9927,2
0xabd4d2b15ed7c40a2a37a5c4eb4d204ba6f208dd,2
0x30378d6b2acca2d6a6480bce7c5c2bcbde71bb7b,2
0x379777fc44ef686e510171f160f104945ddfd233,2
0xa8fefe1c78a64a5af7df21cf814db34b8db24a78,2
0x3d97765dc58e8b962d07aae57e443ab3d939a1a0,2
0x9e2e5e3ef7ec8c58a0a607e0a29d250297a0411c,2
0x6e0c83fba7a67b7c64bfd1ff7760cbb096a5da35,2
0x34d3163d5ae37661d87d1fcc1ef6c7667e2c33cc,2
0xd8ac01e7c0c32eb7c5d565dad357f5b0fa29bbe6,2
0xfc608f3bb4aa2ccdb4bbb69ccc05f0478f1eb950,2
0xd0a8ea19ede0fe9d2d2beb8863f82777156eabe9,2
0x154620ddfdcd6ab15dd9c1682386debad1eef536,2
0x3b30f4e383fe90d06643839973e5a183ca077ddd,2
0x1b4cdd1d9492f6f2bdf158dda65d84808307139d,2
0x0188a061aa8581437b0e16f4aa9a9f3f170676dc,2
0xd8fef4bb781ad488b124b86b0bc7701454060160,2
0x2784f067fc4ddf05df9b5158cd61cea200215783,2
0x4161cb28b929e90c284cd280daddfc5cfc76188e,2
0x561c588da8738f5b7adea46d11926db53fe1192c,2
0x08430b4dfb72689b4193acadefe37abde6ae93f2,2
0x981a7420150d815147a62a93905e0064e8ad7342,2
0xa71abc01718a8cd5c295d0e2b2128c6ba6cdf913,2
0x59dacac5e1b5fbd54399cdca917b73fcf42909ac,2
0xfcc0fda42a4da5a2ae2d7d28ffc86aec0d6a28b3,2
0xa2e7833dc269756e1acb554aebcf4338bff6974d,2
0x5ebdc6f4df9fa2eff4c7d543ff52629520859bbb,2
0x56e11cbeca8c6a80df9cde77a31165924a458ea8,2
0x5f1e988d17704e5566d35ee0708df68ca12dfd21,2
0x95269423ebac8fe3d7f58492e3a5a93fd379d428,2
0xf13ca6890e06f40711139c8bdae7ed7799fbc6d4,2
0x25bee3ca75650c3a37018f4509b73a4f6544b91c,2
0x34ff1613edb98df7d833b7dfaeba71ebbc877018,2
0xb7b008b162096fc66dae91fa63f9baf0c8150db8,2
0x919f36594018484b39554d0623154404c341070b,2
0xfeeb9815eddccd894793a687a8c5c4fe87c579b1,2
0x97ec93e5703099593efb87cc80cd79f6d1e832a6,2
0x70812b362b8cdd7887123f8e61e53ebc7882ff9a,2
0xf2e4ce38fffeb48545def9476d4fa1595e8a9e25,2
0xb65e213d0516c2d5aeaeb1f9656f9542a9ae44ba,2
0x57efca1db35f5ae174f564dc2866c6882adcb5b1,2
0x8bfaca2a2c775cb4e7ebc04094d54a3198f050fe,2
0x1f6bcd10b6562ec8ea12923c2495ee170b27ad13,2
0xa9804de5a5a74793376ac310bb8010194f5204ef,2
0x55903ff4cb19fcc50469bc5a6f258d60c5ec947d,2
0xd0692d08d013471cf599340367ca07611d2e2b9c,2
0xffccf87ae022e4e0bf3f3aae99bf13d3da80399c,2
0x18963bb77494fa1ad27fa9b0beb862a43da3d3a5,2
0x9ed0680c26cb3ecc18a5240dbb319730ed1d4d8c,2
0xa738a8235f8b65576a10f1858373c63c6e38bb5a,2
0xcd4aa0d75c36f15fdc9328ff4424ef9a22b755fe,2
0xeb0884d03a8f05d4904c14e4c8b08b776e91f5d6,2
0xef59a40849388ba46debfa8f8c578293947e59a2,2
0x1b599b8c703d97c37d40693ed0c59f2d5553fba5,2
0x3720e15ab36f9af7e6ea3c5bac39541fa701b7fb,2
0x8e20dd164089b31bc5d8d87dac96b5e6057ec0e0,1
